0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,"1,268","1,268","1,268","1,268","1,691","2,255","2,255","4,510","4,440","4,440","6,575","6,575","6,575"
Reserves,"22,959","25,804","27,851","33,826","36,458","38,073","41,838","39,461","42,171","51,146","49,079","57,604","63,918"
Borrowings +,"9,064","10,268","9,556","8,060","5,063","2,081","1,001","5,762","6,598","7,656","15,730","19,210","16,967"
Other Liabilities +,"11,414","12,494","14,242","12,643","12,145","15,692","19,304","18,820","19,747","23,123","24,773","26,156","25,610"
Total Liabilities,"44,705","49,834","52,917","55,797","55,357","58,101","64,398","68,553","72,956","86,365","96,156","109,546","113,069"
Fixed Assets +,"19,707","21,477","27,760","28,467","28,506","28,790","31,086","33,645","36,498","39,781","44,307","48,960","48,209"
CWIP,"8,978","9,728","4,360","3,420","3,803","5,514","9,202","10,582","11,903","13,071","13,662","15,859","18,105"
Investments,"3,719","4,289","4,322","8,585","9,377","9,953","9,624","7,498","9,724","12,121","12,789","17,514","19,224"
Other Assets +,"12,301","14,341","16,475","15,326","13,671","13,844","14,485","16,828","14,831","21,392","25,398","27,214","27,531"
Total Assets,"44,705","49,834","52,917","55,797","55,357","58,101","64,398","68,553","72,956","86,365","96,156","109,546","113,069"
