0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,"3,409","3,872","4,055","3,773","3,808","4,268","4,523","4,492","4,665","5,189","5,536","5,500","5,479"
Interest,"1,284","1,332","1,541","1,580","1,727","1,796","2,032","2,049","2,140","2,323","2,531","2,552","2,648"
Expenses +,"1,689",988,"1,666","2,396","2,733","2,040","1,916","2,036","2,099","3,496","2,115","2,294","3,281"
Financing Profit,435,"1,552",848,-203,-653,432,575,407,426,-630,890,654,-450
Financing Margin %,13%,40%,21%,-5%,-17%,10%,13%,9%,9%,-12%,16%,12%,-8%
Other Income +,709,964,330,476,"1,033",629,385,540,545,694,528,595,"1,096"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"1,144","2,517","1,178",273,381,"1,061",960,947,971,64,"1,418","1,249",645
Tax %,25%,24%,25%,23%,24%,24%,25%,24%,25%,15%,25%,25%,34%
Net Profit +,859,"1,902",886,209,291,808,721,721,733,55,"1,063",937,426
EPS in Rs,5.33,11.81,5.50,1.30,1.80,5.02,4.48,4.48,4.55,0.34,6.60,5.82,2.65
Gross NPA %,10.81%,6.46%,7.25%,7.19%,7.15%,4.87%,6.76%,7.32%,7.02%,3.84%,4.23%,4.68%,4.68%
Net NPA %,3.01%,1.66%,1.92%,1.86%,1.86%,1.17%,2.18%,2.32%,2.21%,1.11%,1.15%,1.29%,1.28%
Raw PDF,,,,,,,,,,,,,
